id,favorite_count,retweet_count,created_at
712028923664539648,0,0,Mon Mar 21 21:31:38 +0000 2016
712023219453038593,3,0,Mon Mar 21 21:08:58 +0000 2016
712023412743364610,1,1,Mon Mar 21 21:09:45 +0000 2016
712076964937355264,3,0,Tue Mar 22 00:42:32 +0000 2016
712031781965467648,5,3,Mon Mar 21 21:43:00 +0000 2016
712069384651481088,1,0,Tue Mar 22 00:12:25 +0000 2016
712181280033476608,0,0,Tue Mar 22 07:37:03 +0000 2016
712071546198568960,2,1,Tue Mar 22 00:21:00 +0000 2016
711997286792847360,7,1,Mon Mar 21 19:25:56 +0000 2016
712013394480476160,1,1,Mon Mar 21 20:29:56 +0000 2016
712078641262239744,0,0,Tue Mar 22 00:49:12 +0000 2016
712079566597070848,1,0,Tue Mar 22 00:52:53 +0000 2016
712077961944391680,2,0,Tue Mar 22 00:46:30 +0000 2016
712032834073055232,3,1,Mon Mar 21 21:47:11 +0000 2016
711993589195210753,0,0,Mon Mar 21 19:11:14 +0000 2016
711995162755354624,2,1,Mon Mar 21 19:17:29 +0000 2016
712076868069896192,2,0,Tue Mar 22 00:42:09 +0000 2016
712035116785278977,0,0,Mon Mar 21 21:56:15 +0000 2016
712004393067892736,0,0,Mon Mar 21 19:54:10 +0000 2016
711994014489153537,6,3,Mon Mar 21 19:12:55 +0000 2016
712028824800595969,1,0,Mon Mar 21 21:31:15 +0000 2016
712108175890120706,1,0,Tue Mar 22 02:46:34 +0000 2016
712072369259413504,1,0,Tue Mar 22 00:24:17 +0000 2016
712287401591361536,8,7,Tue Mar 22 14:38:44 +0000 2016
711994735842361344,4,1,Mon Mar 21 19:15:47 +0000 2016
712027167513686016,1,0,Mon Mar 21 21:24:40 +0000 2016
712073269499658240,2,3,Tue Mar 22 00:27:51 +0000 2016
712032322577702912,1,0,Mon Mar 21 21:45:09 +0000 2016
711994151940726784,2,1,Mon Mar 21 19:13:28 +0000 2016
711995051526651904,1,0,Mon Mar 21 19:17:03 +0000 2016
712070360284340224,0,0,Tue Mar 22 00:16:18 +0000 2016
712003126417563649,0,0,Mon Mar 21 19:49:08 +0000 2016
712023961446457345,1,1,Mon Mar 21 21:11:55 +0000 2016
711995118257987584,1,0,Mon Mar 21 19:17:19 +0000 2016
712309023790354432,3,2,Tue Mar 22 16:04:39 +0000 2016
712025030343790593,1,1,Mon Mar 21 21:16:10 +0000 2016
712079618665152512,6,3,Tue Mar 22 00:53:05 +0000 2016
712057755864080384,0,0,Mon Mar 21 23:26:13 +0000 2016
712061401796247553,1,0,Mon Mar 21 23:40:42 +0000 2016
712023734995910656,3,1,Mon Mar 21 21:11:01 +0000 2016
712219028643774465,2,0,Tue Mar 22 10:07:03 +0000 2016
712022593918734337,0,0,Mon Mar 21 21:06:29 +0000 2016
712030044764446722,1,0,Mon Mar 21 21:36:06 +0000 2016
712070782331949057,0,0,Tue Mar 22 00:17:58 +0000 2016
712077399165284352,2,0,Tue Mar 22 00:44:16 +0000 2016
712024144926257153,0,0,Mon Mar 21 21:12:39 +0000 2016
712075279695351809,2,0,Tue Mar 22 00:35:51 +0000 2016
712309666911399936,0,0,Tue Mar 22 16:07:13 +0000 2016
712078275682521088,2,0,Tue Mar 22 00:47:45 +0000 2016
712026147412807680,1,1,Mon Mar 21 21:20:37 +0000 2016
